"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","172.64.155.249","TLSv1.2","153","Application Data"
"2","0.000064","192.168.0.183","172.64.155.249","TLSv1.2","93","Application Data"
"3","0.016016","172.64.155.249","192.168.0.183","TCP","60","443  >  51124 [ACK] Seq=1 Ack=139 Win=33 Len=0"
"4","0.016016","172.64.155.249","192.168.0.183","TLSv1.2","93","Application Data"
"5","0.056664","172.64.155.249","192.168.0.183","TLSv1.2","296","Application Data"
"6","0.056664","172.64.155.249","192.168.0.183","TLSv1.2","100","Application Data"
"7","0.056664","172.64.155.249","192.168.0.183","TLSv1.2","1279","Application Data"
"8","0.056664","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=1553 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
"9","0.056664","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=3013 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
"10","0.056664","172.64.155.249","192.168.0.183","TLSv1.2","907","Application Data"
"11","0.056664","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=5326 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
"12","0.056664","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=6786 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
"13","0.056733","192.168.0.183","172.64.155.249","TCP","54","51124  >  443 [ACK] Seq=139 Ack=8246 Win=514 Len=0"
"14","0.057775","192.168.0.183","172.64.155.249","TLSv1.2","89","Application Data"
"15","0.060209","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=8246 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
"16","0.060209","172.64.155.249","192.168.0.183","TLSv1.2","408","Application Data"
"17","0.060254","192.168.0.183","172.64.155.249","TCP","54","51124  >  443 [ACK] Seq=174 Ack=10060 Win=514 Len=0"
"18","0.066032","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=10060 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
"19","0.066032","172.64.155.249","192.168.0.183","TLSv1.2","966","Application Data"
"20","0.066032","172.64.155.249","192.168.0.183","TLSv1.2","688","Application Data"
"21","0.066083","192.168.0.183","172.64.155.249","TCP","54","51124  >  443 [ACK] Seq=174 Ack=13066 Win=514 Len=0"
"22","0.067916","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=13066 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
"23","0.067916","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=14526 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.067916","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=15986 Ack=139 Win=33 Len=1460 [TCP segment of a reassembled PDU]"
